transaction_id,transaction_date,city,neighborhood,property_type,rooms,floor,total_floors,year_built,surface_sqm,lat,lng,is_furnished,amenities_count,amenities_list,sale_price_eur,is_verified,data_source
MD-00000063,2026-02-14,Chișinău,Râșcani,APARTMENT,2,3,10,1994,55.1,47.023607,28.869106,True,4,balcony|elevator|furnished|storage_room,80000,True,real
MD-00000064,2024-12-23,Chișinău,Telecentru,HOUSE,5,1,2,2011,118.3,47.000413,28.819491,False,3,garage|storage_room|terrace,320000,True,real
MD-00000065,2025-04-27,Chișinău,Buiucani,HOUSE,2,1,1,1991,106.7,47.067907,28.818382,False,2,garage|garden,215000,True,real
MD-00000066,2025-05-24,Comrat,,APARTMENT,2,2,3,1949,51.3,46.279866,28.629666,False,1,balcony,55000,True,real
MD-00000067,2026-06-21,Chișinău,Ciocana Nouă,APARTMENT,1,1,5,1981,47.4,46.992927,28.891677,False,1,balcony,52000,True,real
MD-00000068,2025-12-23,Chișinău,Ciocana,APARTMENT,3,7,10,2008,77.2,47.014184,28.891259,False,2,balcony|elevator,119000,True,real
MD-00000069,2025-06-18,Chișinău,Telecentru,APARTMENT,2,1,9,1972,67.8,46.997765,28.826534,False,3,balcony|elevator|storage_room,90000,True,real
MD-00000070,2024-10-31,Chișinău,Ciocana Nouă,APARTMENT,3,3,9,1987,75.5,47.054053,28.889082,True,4,balcony|elevator|furnished|storage_room,100000,True,real
MD-00000071,2026-01-28,Chișinău,Botanica Veche,HOUSE,3,1,3,1989,105.8,46.936009,28.877826,False,3,garage|garden|terrace,160000,True,real
MD-00000072,2025-11-02,Chișinău,Dumbrava,APARTMENT,2,8,10,1994,57.6,47.015373,28.746254,False,2,balcony|elevator,65000,True,real
MD-00000073,2026-06-20,Chișinău,Telecentru,APARTMENT,2,1,5,1985,55.8,46.992243,28.801252,False,0,,60900,True,real
MD-00000074,2024-09-23,Chișinău,Telecentru,APARTMENT,2,4,4,1959,61.1,46.994117,28.812482,True,3,balcony|furnished|storage_room,70000,True,real
MD-00000075,2024-08-26,Chișinău,Telecentru,APARTMENT,2,2,10,2026,57.6,47.003139,28.79273,False,3,balcony|elevator|parking,140000,True,real
MD-00000076,2025-11-01,Chișinău,Buiucani,APARTMENT,3,1,9,1985,81.1,47.010904,28.832416,True,2,elevator|furnished,100000,True,real
MD-00000077,2024-01-27,Chișinău,Râșcani,APARTMENT,2,5,5,2010,54.2,47.066085,28.844861,False,1,balcony,57000,True,real
MD-00000078,2025-02-18,Chișinău,Aeroport,APARTMENT,1,11,12,2014,41.1,46.966379,28.904397,False,4,balcony|elevator|parking|storage_room,79000,True,real
MD-00000079,2025-12-23,Chișinău,Mălina Mică,APARTMENT,1,6,10,2017,44.7,47.014849,28.818084,False,3,balcony|elevator|storage_room,115000,True,real
MD-00000080,2025-04-24,Chișinău,Buiucani,HOUSE,4,1,2,1991,87.1,47.041819,28.827971,False,4,garage|garden|pool|storage_room,179000,True,real
MD-00000081,2024-12-10,Bălți,,APARTMENT,3,4,5,1982,76.9,47.772092,27.942623,False,1,balcony,48000,True,real
MD-00000082,2024-09-22,Chișinău,Ciocana,HOUSE,5,1,1,2014,329.5,47.074891,28.934713,True,3,furnished|garden|parking,333000,True,real
MD-00000083,2025-11-17,Comrat,,APARTMENT,3,4,5,1995,78.5,46.294519,28.664061,True,3,balcony|fireplace|furnished,85000,True,real
MD-00000084,2025-06-04,Chișinău,Botanica,APARTMENT,3,5,5,1995,90.4,46.974147,28.880525,True,1,furnished,94500,True,real
MD-00000085,2024-11-18,Bălți,,HOUSE,5,1,3,1999,173.0,47.736576,27.922202,False,1,garden,105000,True,real
MD-00000086,2026-05-06,Chișinău,Buiucani,APARTMENT,1,3,4,1969,28.5,47.042165,28.81378,False,2,balcony|storage_room,28000,True,real
MD-00000087,2025-11-09,Chișinău,Ciocana,HOUSE,4,1,1,2007,196.7,47.038599,28.891765,False,2,garden|storage_room,269000,True,real
MD-00000088,2024-12-04,Chișinău,Telecentru,APARTMENT,2,8,9,1975,62.1,47.000344,28.808079,False,2,balcony|elevator,82000,True,real
MD-00000089,2026-05-27,Chișinău,Centru,APARTMENT,3,7,9,1991,68.4,46.979637,28.830479,False,2,balcony|elevator,110000,True,real
MD-00000090,2025-12-16,Chișinău,Cricova,HOUSE,6,1,3,1979,294.5,47.130649,28.855632,False,2,storage_room|terrace,340000,True,real
MD-00000091,2024-09-20,Ialoveni,,APARTMENT,2,3,4,1970,49.0,46.930996,28.794846,False,1,balcony,40000,True,real
MD-00000092,2025-09-05,Ialoveni,,APARTMENT,1,1,4,1958,41.4,46.957733,28.789596,True,2,balcony|furnished,38000,True,real
MD-00000093,2024-12-28,Chișinău,Ciocana,APARTMENT,2,2,5,1983,73.0,46.993193,28.909315,False,1,balcony,75000,True,real
MD-00000094,2025-08-23,Chișinău,Bogdan Voievod,APARTMENT,2,10,13,2015,51.7,47.029696,28.823094,False,2,balcony|elevator,135000,True,real
MD-00000095,2025-04-15,Chișinău,Botanica,APARTMENT,3,7,9,1986,102.7,46.984657,28.864983,True,3,elevator|furnished|storage_room,145000,True,real
MD-00000096,2024-11-27,Chișinău,Cricova,HOUSE,4,1,1,2012,132.5,47.138592,28.846073,False,5,garage|garden|parking|storage_room|terrace,220000,True,real
MD-00000097,2026-03-26,Briceni,,APARTMENT,2,6,9,1992,68.7,48.368145,27.064269,False,3,balcony|elevator|parking,54000,True,real
MD-00000098,2026-05-08,Chișinău,Cricova,APARTMENT,2,1,9,1975,54.4,47.126385,28.851967,False,2,balcony|elevator,45000,True,real
MD-00000099,2026-04-05,Bălți,,APARTMENT,2,1,10,1986,77.2,47.777025,27.893883,False,2,balcony|elevator,50000,True,real
MD-00000100,2025-07-06,Bălți,,HOUSE,4,1,3,1997,212.6,47.760906,27.966283,False,2,garage|garden,245000,True,real
MD-00000101,2026-02-14,Chișinău,Codru,HOUSE,4,1,2,2002,258.8,46.965132,28.818961,False,3,fireplace|garage|storage_room,460000,True,real
MD-00000102,2024-10-22,Chișinău,Buiucani,APARTMENT,2,11,16,2024,69.9,47.035483,28.806836,False,4,balcony|elevator|parking|storage_room,171000,True,real
MD-00000103,2024-12-16,Chișinău,Buiucani,APARTMENT,1,2,9,1986,54.1,47.039284,28.797348,True,4,balcony|elevator|furnished|storage_room,82000,True,real
MD-00000104,2024-11-01,Chișinău,Ciocana,APARTMENT,2,13,15,2023,64.9,46.988574,28.905474,False,3,balcony|elevator|parking,159300,True,real
MD-00000105,2025-04-01,Chișinău,Botanica,APARTMENT,1,2,3,1950,54.4,46.997331,28.9061,False,1,storage_room,60000,True,real
MD-00000106,2024-11-15,Chișinău,Telecentru,APARTMENT,2,1,5,1994,59.2,46.991143,28.808566,False,2,elevator|storage_room,61000,True,real
MD-00000107,2026-03-06,Edineț,,APARTMENT,1,7,9,1981,39.3,48.17198,27.330545,False,0,,25500,True,real
MD-00000108,2025-08-31,Soroca,,HOUSE,4,1,1,1985,232.0,48.156496,28.292077,False,2,garage|garden,138000,True,real
MD-00000109,2025-05-28,Chișinău,Cricova,APARTMENT,2,6,10,1984,60.3,47.126301,28.874957,False,2,balcony|elevator,50000,True,real
MD-00000110,2025-06-04,Chișinău,Botanica,APARTMENT,4,6,9,1993,134.1,46.994209,28.869394,False,1,elevator,140000,True,real
MD-00000111,2026-02-14,Chișinău,Botanica,APARTMENT,2,10,10,1982,49.7,47.003974,28.861432,False,3,balcony|elevator|storage_room,81000,True,real
MD-00000112,2025-11-06,Cahul,,APARTMENT,1,2,4,1963,45.4,45.900527,28.186243,True,2,furnished|parking,74000,True,real
MD-00000113,2026-01-25,Chișinău,Stăuceni,APARTMENT,3,13,16,2013,92.3,47.080229,28.868224,False,3,balcony|elevator|parking,225000,True,real
MD-00000114,2025-09-04,Chișinău,Centru,APARTMENT,3,1,5,1989,93.9,47.011762,28.824342,True,3,balcony|elevator|furnished,149400,True,real
MD-00000115,2025-08-21,Chișinău,Ciocana,APARTMENT,2,1,5,1969,64.4,47.057372,28.943306,False,2,balcony|storage_room,56000,True,real
MD-00000116,2026-06-26,Chișinău,Telecentru,APARTMENT,3,6,6,2005,90.6,47.002099,28.820332,True,4,balcony|elevator|furnished|storage_room,143000,True,real
MD-00000117,2025-08-17,Chișinău,Durlești,HOUSE,4,1,2,1983,205.7,47.032781,28.760888,False,1,garden,240000,True,real
MD-00000118,2025-06-21,Orhei,,APARTMENT,2,2,5,1988,71.9,47.39488,28.804524,True,2,balcony|furnished,77000,True,real
MD-00000119,2024-05-26,Rezina,,HOUSE,3,1,1,1974,159.0,47.758736,28.965074,False,3,garage|garden|storage_room,96000,True,real
MD-00000120,2024-04-05,Chișinău,Sîngera,HOUSE,5,1,3,2014,292.5,46.904056,28.96244,False,5,garage|garden|parking|storage_room|terrace,610000,True,real
MD-00000121,2025-06-30,Briceni,,APARTMENT,3,5,5,1962,89.4,48.363763,27.097669,True,2,balcony|furnished,55000,True,real
MD-00000122,2025-12-24,Chișinău,Telecentru,APARTMENT,4,3,3,1947,123.9,47.000819,28.808287,True,2,balcony|furnished,235000,True,real
MD-00000123,2025-04-23,Chișinău,Botanica,HOUSE,5,1,1,2002,279.1,46.986962,28.944371,False,4,garage|garden|parking|storage_room,510000,True,real
MD-00000124,2024-06-27,Chișinău,Telecentru,APARTMENT,3,4,5,1962,104.5,47.000019,28.815252,True,3,balcony|furnished|storage_room,149000,True,real
MD-00000125,2025-01-10,Rezina,,APARTMENT,4,9,9,1975,98.3,47.741455,28.978151,False,3,balcony|elevator|storage_room,29000,True,real
MD-00000126,2026-06-23,Chișinău,Ciocana,APARTMENT,4,8,12,2023,103.5,47.026448,28.885897,False,2,balcony|elevator,270000,True,real
MD-00000127,2024-08-26,Ungheni,,APARTMENT,2,1,9,1989,46.4,47.232394,27.806638,True,3,balcony|elevator|furnished,34000,True,real
MD-00000128,2025-08-16,Chișinău,Telecentru,HOUSE,6,1,3,2006,167.8,47.008083,28.799948,True,4,furnished|garage|garden|storage_room,365000,True,real
MD-00000129,2024-06-11,Chișinău,Ciocana,APARTMENT,3,2,10,1984,83.6,47.009818,28.917093,True,3,balcony|elevator|furnished,96000,True,real
MD-00000130,2026-02-01,Chișinău,Ciocana,APARTMENT,5,7,9,1988,127.6,47.001495,28.946205,False,3,balcony|elevator|storage_room,140000,True,real
MD-00000131,2026-01-19,Chișinău,Centru,HOUSE,3,1,1,1986,286.1,47.000079,28.823186,True,6,fireplace|furnished|garage|garden|storage_room|terrace,650000,True,real
MD-00000132,2025-05-17,Chișinău,Cricova,APARTMENT,4,10,10,1982,125.4,47.119129,28.865953,False,3,balcony|elevator|storage_room,78000,True,real
MD-00000133,2024-09-18,Chișinău,Valea Trandafirilor,APARTMENT,1,4,16,2010,47.3,47.018939,28.818977,False,3,balcony|elevator|storage_room,110000,True,real
MD-00000134,2025-12-12,Chișinău,Centru,APARTMENT,3,6,10,1980,82.5,47.00714,28.794365,True,3,balcony|elevator|furnished,207600,True,real
MD-00000135,2025-11-20,Chișinău,Durlești,APARTMENT,3,8,10,2009,89.4,47.03782,28.775102,True,3,balcony|elevator|furnished,115000,True,real
MD-00000136,2026-01-09,Chișinău,Bubuieci,HOUSE,4,1,2,1998,147.3,46.984012,28.966883,False,3,garden|storage_room|terrace,139200,True,real
MD-00000137,2025-03-14,Nisporeni,,APARTMENT,2,5,5,1970,53.1,47.084687,28.179112,False,2,balcony|storage_room,27000,True,real
MD-00000138,2025-07-16,Bălți,,APARTMENT,2,2,5,1984,72.1,47.758314,27.933558,False,1,balcony,63000,True,real
MD-00000139,2024-11-30,Chișinău,Botanica,APARTMENT,1,13,15,2010,35.4,46.976379,28.905702,False,3,balcony|elevator|parking,55000,True,real
MD-00000140,2026-02-28,Bălți,,HOUSE,3,1,2,1998,159.2,47.786778,27.944631,True,2,furnished|garage,188000,True,real
MD-00000141,2025-08-02,Bălți,,APARTMENT,1,3,9,1972,31.5,47.741814,27.898711,False,2,balcony|elevator,23000,True,real
MD-00000142,2026-05-25,Chișinău,Sîngera,APARTMENT,4,8,10,2014,131.3,46.912682,28.958248,False,2,balcony|elevator,210000,True,real
MD-00000143,2025-05-17,Chișinău,Botanica,APARTMENT,3,2,9,1986,69.4,46.962899,28.885364,False,1,elevator,85000,True,real
MD-00000144,2025-09-02,Chișinău,Telecentru,APARTMENT,1,8,9,1981,29.0,46.993985,28.801691,False,3,balcony|elevator|storage_room,40000,True,real
MD-00000145,2024-08-11,Anenii Noi,,APARTMENT,2,2,5,1967,58.6,46.869535,29.206607,False,1,balcony,36500,True,real
MD-00000146,2026-04-30,Ungheni,,HOUSE,5,1,2,1987,224.8,47.209478,27.789779,False,2,storage_room|terrace,150000,True,real
MD-00000147,2026-01-02,Orhei,,APARTMENT,2,3,4,1959,70.5,47.382986,28.831219,False,1,balcony,98800,True,real
MD-00000148,2025-11-27,Chișinău,Alba-Iulia,APARTMENT,3,5,5,2007,81.3,47.03519,28.793411,True,3,balcony|elevator|furnished,100000,True,real
MD-00000149,2026-05-14,Chișinău,Centru,APARTMENT,1,6,9,1974,47.6,46.997954,28.836889,True,3,balcony|elevator|furnished,90000,True,real
MD-00000150,2026-03-04,Chișinău,Bogdan Voievod,HOUSE,5,1,3,1989,178.1,47.024301,28.877639,True,4,furnished|garden|storage_room|terrace,260000,True,real
MD-00000151,2026-05-02,Leova,,APARTMENT,2,5,5,1964,58.5,46.490865,28.233236,True,2,balcony|furnished,25800,True,real
MD-00000152,2026-04-21,Chișinău,Centru,APARTMENT,3,2,10,1995,73.7,47.007545,28.868098,True,4,balcony|elevator|furnished|storage_room,235000,True,real
MD-00000153,2024-09-11,Bălți,,HOUSE,4,1,2,2002,291.4,47.758475,27.940394,False,3,garage|garden|terrace,180000,True,real
MD-00000154,2025-07-09,Cahul,,APARTMENT,3,2,9,1982,89.7,45.911367,28.177605,False,4,balcony|elevator|parking|storage_room,78000,True,real
MD-00000155,2025-02-11,Ungheni,,APARTMENT,3,2,4,1968,75.9,47.198203,27.804028,True,3,balcony|furnished|storage_room,88000,True,real
MD-00000156,2026-05-10,Chișinău,Centru,APARTMENT,1,7,11,2026,46.3,46.994091,28.86975,True,5,balcony|elevator|furnished|parking|storage_room,199500,True,real
MD-00000157,2025-09-25,Chișinău,Stăuceni,HOUSE,4,1,3,2006,269.5,47.067876,28.86604,False,4,garage|garden|storage_room|terrace,320000,True,real
MD-00000158,2024-08-11,Chișinău,Râșcani,HOUSE,4,1,1,2013,167.2,47.051654,28.849996,False,3,garage|garden|storage_room,370000,True,real
MD-00000159,2026-05-15,Chișinău,Telecentru,HOUSE,5,1,2,2008,221.1,47.003318,28.829067,True,2,furnished|garden,445000,True,real
MD-00000160,2024-08-01,Chișinău,Centru,APARTMENT,1,5,5,1980,46.2,47.000638,28.812263,True,2,furnished|storage_room,71000,True,real
MD-00000161,2024-08-15,Chișinău,Botanica,APARTMENT,4,5,5,1995,104.8,46.984448,28.908394,True,2,balcony|furnished,103500,True,real
MD-00000162,2026-04-14,Chișinău,Râșcani,HOUSE,5,1,1,2000,214.2,47.038022,28.871551,True,4,furnished|garage|garden|storage_room,405000,True,real
MD-00000163,2025-05-07,Chișinău,Mălina Mică,APARTMENT,2,10,13,2016,60.4,47.002926,28.840425,False,2,balcony|elevator,195000,True,real
MD-00000164,2026-02-17,Bălți,,APARTMENT,4,3,11,2025,141.6,47.775405,27.901334,False,3,balcony|elevator|parking,240000,True,real
MD-00000165,2025-01-26,Ialoveni,,APARTMENT,2,2,10,1995,68.3,46.947303,28.7783,False,3,balcony|elevator|storage_room,73500,True,real
MD-00000166,2025-08-22,Chișinău,Aeroport,HOUSE,5,1,3,2014,229.5,46.965823,28.861367,True,4,furnished|garage|garden|terrace,410000,True,real
MD-00000167,2024-07-24,Chișinău,Aeroport,APARTMENT,2,1,10,1989,66.1,47.004974,28.872425,False,3,balcony|elevator|storage_room,96000,True,real
MD-00000168,2025-04-15,Chișinău,Buiucani-Nord,APARTMENT,2,6,11,2021,68.0,47.055021,28.819645,True,4,balcony|elevator|furnished|parking,126800,True,real
MD-00000169,2026-01-22,Chișinău,Poșta Veche,APARTMENT,1,1,5,1989,30.0,47.035969,28.871873,True,3,balcony|furnished|storage_room,38000,True,real
MD-00000170,2025-06-03,Chișinău,Botanica,APARTMENT,2,1,5,1958,57.4,46.999229,28.869686,True,2,furnished|storage_room,50000,True,real
MD-00000171,2025-11-07,Chișinău,Sîngera,APARTMENT,2,1,4,1968,54.1,46.917583,28.956422,True,2,balcony|furnished,24000,True,real
MD-00000172,2025-07-01,Chișinău,Trușeni,APARTMENT,4,2,13,2019,103.5,47.051157,28.712563,False,4,balcony|elevator|parking|storage_room,110000,True,real
MD-00000173,2026-06-08,Chișinău,Codru,APARTMENT,2,7,10,2010,66.3,46.965782,28.820037,False,1,elevator,89000,True,real
MD-00000174,2024-10-20,Chișinău,Ciocana,APARTMENT,3,1,11,2018,75.8,47.06919,28.939078,False,2,balcony|elevator,164000,True,real
MD-00000175,2025-08-02,Chișinău,Bubuieci,HOUSE,3,1,3,2010,342.2,47.001362,28.978518,False,1,garage,580000,True,real
MD-00000176,2026-05-02,Chișinău,Durlești,APARTMENT,2,1,16,2014,60.7,47.025906,28.757734,False,3,balcony|elevator|storage_room,78000,True,real
MD-00000177,2025-01-05,Chișinău,Cricova,HOUSE,6,1,2,2014,100.6,47.127246,28.844141,False,4,garage|garden|parking|storage_room,176000,True,real
MD-00000178,2026-05-02,Strășeni,,APARTMENT,2,4,9,1977,46.7,47.140369,28.610787,True,4,balcony|elevator|furnished|storage_room,40000,True,real
MD-00000179,2024-09-03,Chișinău,Cricova,APARTMENT,1,3,7,2007,40.1,47.139306,28.861731,True,3,balcony|elevator|furnished,40000,True,real
MD-00000180,2026-06-12,Glodeni,,APARTMENT,2,8,9,1984,72.6,47.780785,27.520197,True,3,balcony|elevator|furnished,38000,True,real
MD-00000181,2025-10-15,Chișinău,Valea Trandafirilor,APARTMENT,4,2,5,1968,118.6,47.02054,28.854615,False,1,balcony,190000,True,real
MD-00000182,2025-06-02,Chișinău,Buiucani,APARTMENT,2,2,10,1991,56.9,47.055673,28.798834,True,2,elevator|furnished,67000,True,real
